Sex,Extension,Flexion,Abduction,Adduction,ThighCircumference,ThighLength,BiiliacBreadth,DistanceBetweenKnees,BiepicondylarBreadth,InternalRotation,ExternalRotation
F,155,33,110,45,17,15,15,23,2,62,68
F,158,32,113,41,18.5,12,13,20.5,2,44,58
F,153,32,114,54,18,12,15,21,2,53,60
F,163,30,113,51,18,13,15,24,2.5,44,75
F,152,33,117,71,17,10,12,19,2.5,30,51
F,150,34,116,52,17,12,13,18,2,40,47
F,150,26,114,57,15.5,14,10,19,2,40,71
F,161,19,121,41,18,14,17,26,3,48,65
M,135,27,116,63,21,15,13,25,3,45,48
M,144,22,110,79,21,17,12,23,2.5,55,50
M,139,29,111,47,20,14,13,21,3,54,59
M,139,29,121,55,21,14,11,19,2,42,47
M,148,29,115,70,22,15,13,26,3,50,53
M,149,20,117,65,18.5,16,12,28,3,59,53
M,145,30,112,65,24,13,17,27,4,48,67
M,141,23,126,73,23,13,14,24,2.5,47,43
F,162,31,127,41,23,18,14,27,3,30,81
F,158,28,127,54,25,17,15,31,3,29,67
F,153,33,118,54,23,18,16,28,3,43,59
F,150,31,125,55,26,18,18,29,4,38,58
F,167,28,120,54,23,18,16,34,3,36,55
F,150,41,100,59,24,17,18.5,24,3,54,60
F,158,36,108,36,24,18,19,24,4,43,63
F,162,38,110,61,23,15,16,28,3,42,61
M,140,35,125,50,27,21,15,36,3,32,40
M,143,29,117,47,29,22,19,31,6,35,55
M,151,30,112,57,28.5,22,18,33,4,30,59
M,152,31,115,58,27,21,14,36,4,34,50
M,153,32,109,60,30,21,18,30,3.5,39,43
M,139,31,111,67,28,20,18,30,4,40,43
M,146,35,109,48,26,19,20,26,3,40,47
M,131,33,113,67,31,18,19,28,3.5,28,53
