FemurHead,NSA,NeckLength,L2,L4,FTA,PS,PI,AS,AI,TotalArea,SUP,ANT,AcetabularDiameter,PelvicBreadth
13.21,111.56,13.58,120.97,15.06,63.01,99.13,48.22,101.63,79.51,328.48,115.66,95.13,14.69,27.57
12.13,110.98,14.83,127.77,16.68,61.02,84.26,38.77,80.49,72.03,275.55,103.45,106.93,13.12,25.75
13.50,112.54,12.14,124.52,15.42,60.93,100.18,50.36,101.74,81.34,333.63,114.96,91.65,14.18,26.34
13.49,117.52,13.22,120.52,14.86,67.29,109.07,64.39,111.70,92.35,377.52,110.46,98.44,14.90,24.69
10.77,109.72,11.83,119.86,12.06,66.58,68.19,44.73,68.60,64.04,245.56,105.21,99.54,12.28,25.09
10.16,102.82,10.46,107.93,10.04,63.06,53.15,28.40,59.69,42.58,183.82,117.35,98.86,11.92,24.05
9.99,108.45,9.43,109.43,11.02,65.04,60.94,31.58,59.34,41.50,193.37,116.57,97.77,11.19,22.42
9.65,104.20,9.11,102.50,10.26,61.78,55.05,28.16,54.05,43.95,181.22,111.02,96.32,10.86,24.06
10.67,108.95,10.43,111.72,11.25,65.88,63.99,35.90,64.61,49.54,214.04,115.41,94.65,12.32,27.79
11.39,105.67,11.52,118.84,10.41,70.99,84.05,47.92,79.34,59.39,270.68,123.32,90.18,12.17,25.15
16.36,109.11,18.11,180.54,19.49,64.14,160.99,89.51,153.99,118.31,522.79,114.78,101.75,18.18,36.25
15.30,114.46,16.59,159.30,14.57,74.28,126.09,71.98,136.35,106.92,441.33,111.73,96.97,17.23,27.53
15.06,104.87,15.30,149.26,11.98,71.65,130.21,74.83,128.38,110.86,444.28,110.87,94.21,16.80,29.60
15.30,113.69,14.17,161.70,14.42,73.53,142.58,88.86,134.22,102.56,468.21,114.43,94.74,16.68,31.03
14.76,108.36,12.23,146.90,12.26,69.28,124.60,63.32,128.84,91.78,408.54,119.16,99.24,15.90,30.68
15.17,98.08,13.48,157.93,12.09,63.19,131.29,63.43,134.31,92.22,421.26,126.19,96.89,16.43,26.22
