FemurHead,NSA,NeckLength,L2,L4,FTA,PS,PI,AS,AI,TotalArea,SUP,ANT,AcetabularDiameter,PelvicBreadth
30.17,118.19,34.06,253.56,31.17,76.11,487.75,371.18,495.47,531.40,1885.80,98.21,106.28,33.21,57.21
30.37,111.34,35.26,250.36,28.81,76.77,464.20,298.55,520.35,500.06,1783.15,105.60,114.47,37.62,64.12
31.47,125.20,40.51,247.37,38.38,78.56,542.15,420.25,560.34,525.67,2048.41,98.90,102.34,34.92,64.24
31.87,131.49,47.01,237.39,44.30,83.88,563.07,484.31,538.70,582.37,2168.98,91.25,103.42,35.20,59.80
29.51,126.39,41.61,235.90,35.75,84.85,489.94,388.22,501.34,465.28,1844.78,97.34,103.39,33.73,57.94
30.55,122.40,39.29,259.44,35.45,80.69,505.41,421.62,505.11,518.07,1950.20,95.86,96.73,33.33,69.85
33.10,130.14,44.11,252.91,44.10,81.61,547.52,378.48,566.14,588.18,2080.31,97.27,108.93,35.26,66.85
29.71,119.11,32.33,253.41,28.24,80.90,525.48,380.35,521.15,486.24,1913.23,106.08,99.37,33.08,63.50
32.95,127.24,42.90,253.20,44.31,75.98,603.73,489.31,656.60,657.84,2407.48,98.93,107.19,37.80,70.58
30.16,115.39,32.36,244.76,27.04,80.53,532.79,375.86,548.24,479.26,1936.15,108.45,98.58,33.39,63.33
30.73,113.06,37.34,253.80,29.77,75.89,541.62,369.33,585.54,586.39,2082.88,103.10,108.92,34.75,71.66
35.55,127.97,42.56,277.02,36.76,87.67,736.57,490.53,699.63,640.08,2566.79,102.92,96.96,39.58,69.93
34.69,125.43,32.04,236.89,31.06,83.84,660.69,440.54,689.18,601.50,2391.91,105.50,97.74,39.31,65.54
36.42,126.70,42.08,261.65,47.22,74.12,595.88,506.51,595.83,667.12,2365.34,92.19,96.93,41.30,71.70
32.73,129.11,45.75,250.37,39.96,85.86,495.76,342.85,518.02,521.10,1877.72,99.10,99.82,39.76,74.17
35.98,112.12,39.80,266.67,35.21,70.64,671.87,415.57,646.66,625.79,2359.88,103.84,94.06,41.95,76.44
32.85,117.71,36.95,242.84,27.99,84.33,601.30,396.52,587.57,571.58,2156.97,106.44,94.82,37.84,66.38
32.15,119.47,36.07,249.66,29.20,85.56,537.52,368.14,559.90,534.89,2000.45,103.57,102.72,35.91,64.67
34.30,118.63,41.90,245.26,36.25,77.00,583.04,428.41,561.78,620.63,2193.86,95.27,97.94,39.88,79.45
30.69,136.57,41.64,231.67,37.58,91.73,466.02,371.72,480.45,482.95,1801.14,95.68,96.80,35.56,64.99
30.28,121.75,34.62,232.18,33.19,76.65,447.43,313.97,471.06,518.97,1751.42,93.97,106.59,35.83,68.87
35.65,114.84,40.97,243.98,33.23,78.90,688.44,419.40,731.18,615.08,2454.10,109.03,99.86,40.84,75.82
30.59,124.28,31.26,229.75,25.25,86.52,486.24,302.24,473.81,468.50,1730.78,105.93,103.76,36.56,68.66
31.15,134.52,41.88,252.26,38.17,88.94,543.67,411.70,513.55,508.86,1977.78,101.08,94.25,35.13,68.30
35.88,130.53,47.94,248.03,45.89,82.57,599.48,407.36,604.99,558.88,2170.72,99.61,102.77,41.38,73.49
30.28,119.88,35.60,227.72,33.97,76.57,469.92,332.54,436.76,422.91,1662.13,101.24,93.85,35.09,70.39
34.02,113.22,46.65,254.90,33.29,79.05,524.21,357.22,531.77,516.13,1929.33,102.57,100.51,37.74,74.27
33.22,127.19,33.14,245.29,34.64,78.83,523.41,346.24,548.67,529.73,1948.05,100.32,99.53,38.73,80.56
29.07,117.24,35.25,252.93,28.59,79.45,432.17,279.95,446.23,460.74,1619.09,100.08,104.57,32.32,67.52
