FemurHead,NSA,NeckLength,L2,L4,FTA,PS,PI,AS,AI,TotalArea,SUP,ANT,AcetabularDiameter,PelvicBreadth
23.73,107.29,21.64,231.80,28.33,58.80,272.09,127.80,324.22,276.02,1000.14,108.07,111.55,26.21,50.53
23.04,100.09,22.61,234.31,24.53,57.57,270.22,119.42,326.12,256.20,971.96,118.14,111.55,25.82,52.95
25.55,107.74,20.16,219.91,28.03,57.79,311.16,170.07,361.69,276.53,1119.44,111.43,101.10,28.77,58.98
25.65,102.41,20.23,237.13,25.04,60.91,354.59,181.37,383.59,274.39,1193.95,118.47,99.56,28.79,60.63
26.14,103.04,22.87,232.63,29.56,56.01,330.18,159.37,385.66,304.08,1179.31,113.47,107.46,28.63,56.63
22.92,100.71,19.48,204.70,22.32,60.84,262.44,146.03,296.52,266.21,971.20,106.52,108.29,25.35,49.91
21.28,95.83,20.22,202.61,19.81,59.86,238.82,130.03,265.11,223.75,857.70,113.39,102.68,24.16,46.08
20.64,94.21,16.93,193.72,15.63,62.49,221.74,117.38,249.98,190.08,779.18,115.56,103.63,22.55,47.03
20.89,103.20,18.57,204.64,20.47,61.79,250.65,130.97,278.19,230.25,890.05,113.34,107.97,22.84,47.26
23.62,97.85,27.62,224.07,25.57,57.89,261.53,141.16,316.21,281.40,1000.29,109.58,108.44,25.76,49.54
19.96,111.36,15.28,187.21,19.98,63.80,209.17,107.34,248.85,228.93,794.28,110.86,108.18,22.13,41.35
20.08,110.41,17.15,190.92,20.30,63.52,200.58,115.44,218.96,216.33,751.30,102.12,104.73,22.24,44.11
18.85,102.60,17.33,191.67,18.79,60.60,203.51,115.31,230.79,201.88,751.48,110.30,105.28,20.97,38.14
19.67,107.02,18.67,192.21,23.68,58.39,206.65,126.26,241.64,234.25,808.81,104.24,110.14,21.50,42.57
19.65,101.93,14.79,191.62,19.07,58.58,217.76,108.57,237.25,218.62,782.20,111.32,106.06,21.63,46.64
20.05,104.05,16.87,194.93,18.92,61.69,202.63,100.56,241.34,199.42,743.94,112.51,108.34,22.30,43.25
19.69,99.85,15.64,178.76,18.03,59.27,185.53,113.46,229.28,179.83,708.11,114.21,102.77,21.18,46.25
