Genus,SpeciesName,Species,Museum,MusID,Sex,Locomotion,FemurHead,NSA,Neck,L2,L4,FTA,PS,PI,AS,AI,TotalArea,SUP,ANT,AcetabDiameter,PelvicBreadth,Abduction,AbductedKnee
Alouatta,caraya,Alouatta_caraya,AMNH,211496,1,Excluded,14.99,110.252,18.992,146.086,14.674,71.497,138.573845,102.976298,127.605815,116.690554,485.846512,107.365,86.858,16.944,31.794,45.63,152.44
Alouatta,caraya,Alouatta_caraya,AMNH,211498,1,Excluded,16.376,121.197,20.209,149.87,16.257,80.753,172.093252,124.488106,151.535131,155.920024,604.036513,104.301,84.406,17.602,33.575,49.982,156.934
Alouatta,caraya,Alouatta_caraya,AMNH,211504,1,Excluded,14.708,106.801,18.252,152.221,12.005,72.976,117.92,79.653,126.78,113.958,438.311,109.312,102.225,16.461,30.386,50.379,162.258
Alouatta,caraya,Alouatta_caraya,AMNH,211508,1,Excluded,16.028,122.568,21.375,143.59,18.187,77.732,140.962309,119.806068,141.39,136.648341,538.806718,92.924,88.147,17.727,31.798,48.76,160.832
Alouatta,caraya,Alouatta_caraya,AMNH,211510,1,Excluded,16.144,121.819,22.984,143.226,19.636,77.51,166.615888,134.181233,146.654182,147.625165,595.076468,100.775,93.865,17.517,33.079,47.526,161.284
Alouatta,caraya,Alouatta_caraya,AMNH,211495,2,Excluded,14.01,121.715,17.872,126.441,15.113,77.492,119.014248,84.635805,106.517839,108.591065,418.758957,97.622,92.427,15.384,35.947,42.162,137.095
Alouatta,caraya,Alouatta_caraya,AMNH,211501,2,Excluded,13.79,116.541,15.719,126.119,11.683,80.596,114.708253,84.39929,99.092818,98.190336,396.390697,102.593,88.553,15.593,28.719,49.23,139.02
Alouatta,caraya,Alouatta_caraya,AMNH,211506,2,Excluded,13.872,123.299,19.251,132.81,14.938,84.534,114.007,77.933,113.737,110.905,416.582,98.991,97.606,15.699,28.075,56.063,155.53
Alouatta,caraya,Alouatta_caraya,AMNH,211512,2,Excluded,14.272,120.555,18.177,136.932,13.472,87.893,130.71059,85.829392,119.88463,120.420463,456.845075,108.422,96.332,15.702,28.65,57.73,160.691
Alouatta,caraya,Alouatta_caraya,AMNH,215060,2,Excluded,12.755,128.778,18.378,135.065,15.413,88.421,84.308,61.567,88.603,86.779,321.257,99.955,100.559,13.646,27.54,60.981,162.653
Ateles,belzebuth,Ateles_belzebuth,AMNH,259,2,Suspensory,16.554,114.773,19.104,179.937,11.456,88.242,152.49,86.014,169.114,143.08,550.698,113.14,103.918,18.76,35.889,60.994,209.366
Ateles,belzebuth,Ateles_belzebuth,AMNH,202194,2,Suspensory,15.156,109.617,20.872,174.383,12.229,81.142,126.896,79.264,127.117,111.072,444.349,104.238,93.398,17.96,30.939,60.108,196.77
