Genus,species_name,species,museum,MusID,sex,femur_head,NSA,NECK,L2,L4,FTA,PS,PI,AS,AI,total_area,SUP,ANT,acetab_diameter,pelvic_breadth,abduction,abducted_knee_position
Alouatta,caraya,Alouatta_caraya,AMNH,211496,1,14.99,110.25,18.99,146.09,14.67,71.50,138.57,102.98,127.61,116.69,485.85,107.37,86.86,16.94,31.79,45.63,152.44
Alouatta,caraya,Alouatta_caraya,AMNH,211498,1,16.38,121.20,20.21,149.87,16.26,80.75,172.09,124.49,151.54,155.92,604.04,104.30,84.41,17.60,33.58,49.98,156.93
Alouatta,caraya,Alouatta_caraya,AMNH,211504,1,14.71,106.80,18.25,152.22,12.01,72.98,117.92,79.65,126.78,113.96,438.31,109.31,102.23,16.46,30.39,50.38,162.26
Alouatta,caraya,Alouatta_caraya,AMNH,211508,1,16.03,122.57,21.38,143.59,18.19,77.73,140.96,119.81,141.39,136.65,538.81,92.92,88.15,17.73,31.80,48.76,160.83
Alouatta,caraya,Alouatta_caraya,AMNH,211510,1,16.14,121.82,22.98,143.23,19.64,77.51,166.62,134.18,146.65,147.63,595.08,100.78,93.87,17.52,33.08,47.53,161.28
Alouatta,caraya,Alouatta_caraya,AMNH,211495,2,14.01,121.72,17.87,126.44,15.11,77.49,119.01,84.64,106.52,108.59,418.76,97.62,92.43,15.38,35.95,42.16,137.10
Alouatta,caraya,Alouatta_caraya,AMNH,211501,2,13.79,116.54,15.72,126.12,11.68,80.60,114.71,84.40,99.09,98.19,396.39,102.59,88.55,15.59,28.72,49.23,139.02
Alouatta,caraya,Alouatta_caraya,AMNH,211506,2,13.87,123.30,19.25,132.81,14.94,84.53,114.01,77.93,113.74,110.91,416.58,98.99,97.61,15.70,28.08,56.06,155.53
Alouatta,caraya,Alouatta_caraya,AMNH,211512,2,14.27,120.56,18.18,136.93,13.47,87.89,130.71,85.83,119.88,120.42,456.85,108.42,96.33,15.70,28.65,57.73,160.69
Alouatta,caraya,Alouatta_caraya,AMNH,215060,2,12.76,128.78,18.38,135.07,15.41,88.42,84.31,61.57,88.60,86.78,321.26,99.96,100.56,13.65,27.54,60.98,162.65
Ateles,belzebuth,Ateles_belzebuth,AMNH,259,2,16.55,114.77,19.10,179.94,11.46,88.24,152.49,86.01,169.11,143.08,550.70,113.14,103.92,18.76,35.89,60.99,209.37
Ateles,belzebuth,Ateles_belzebuth,AMNH,202194,2,15.16,109.62,20.87,174.38,12.23,81.14,126.90,79.26,127.12,111.07,444.35,104.24,93.40,17.96,30.94,60.11,196.77
Ateles,fuscicepes,Ateles_fusciceps,USNM,338112,1,17.44,109.42,22.75,171.09,18.58,69.93,167.63,110.48,163.81,181.50,623.42,102.50,99.74,20.71,32.91,48.04,179.10
Ateles,fuscicepes,Ateles_fusciceps,USNM,338115,1,17.79,106.30,23.29,175.84,12.42,82.03,179.03,102.12,185.34,154.80,621.29,112.17,102.78,19.91,35.61,42.24,174.61
Ateles,fuscicepes,Ateles_fusciceps,USNM,338113,2,19.46,99.96,20.65,172.78,14.26,69.37,220.60,127.19,237.14,219.54,804.47,110.86,111.38,22.09,39.82,50.11,184.70
Ateles,fuscicepes,Ateles_fusciceps,USNM,338114,2,17.39,103.95,24.49,184.49,17.36,69.44,171.99,104.00,169.02,165.59,610.60,105.49,99.89,20.61,46.07,42.88,193.07
Ateles,fuscicepes,Ateles_fusciceps,USNM,338116,2,16.97,111.60,22.16,189.45,15.60,77.32,169.30,100.95,162.49,143.12,575.85,110.72,94.38,18.76,37.51,44.99,191.36
Ateles,fusciceps,Ateles_fusciceps,USNM,338111,2,17.40,120.15,20.03,180.46,16.09,81.15,160.94,106.55,166.52,153.36,587.37,103.37,100.42,19.74,36.38,62.49,212.54
Ateles,geoffroyi,Ateles_geoffroyi,USNM,244863,2,17.34,106.66,20.56,171.30,13.76,75.51,170.83,110.42,203.25,168.22,652.71,111.22,106.21,19.51,37.23,53.41,189.29
Ateles,geoffroyi,Ateles_geoffroyi,USNM,244869,2,15.21,116.72,21.65,170.59,15.68,82.04,126.26,78.92,133.92,131.06,470.16,102.77,105.37,18.09,32.16,51.66,184.39
Ateles,geoffroyi,Ateles_geoffroyi,USNM,276631,2,17.32,119.22,19.70,173.87,15.84,81.65,162.61,110.04,183.69,154.21,610.55,109.37,103.08,19.97,34.53,53.05,190.81
Ateles,paniscus,Ateles_paniscus,ZMA,12517,1,19.61,107.80,28.30,208.66,16.32,80.50,228.28,149.35,193.07,193.68,764.37,105.66,91.79,23.24,38.95,59.64,239.47
Ateles,paniscus,Ateles_paniscus,ZMA,12518,1,19.50,112.86,25.40,203.12,18.06,78.99,217.53,143.09,188.20,204.12,752.95,98.91,96.26,23.34,33.68,42.95,194.94
Ateles,paniscus,Ateles_paniscus,AMNH,35449,1,16.26,118.44,18.60,176.50,15.09,82.24,143.12,102.39,118.87,131.16,495.54,92.96,95.47,20.09,26.27,62.27,197.39
Cebus,apella,Cebus_apella,AMNH,188035,1,11.55,100.76,10.16,121.65,6.67,77.81,79.57,39.53,82.78,54.96,256.84,120.89,97.73,12.63,21.60,46.63,119.90
Cebus,apella,Cebus_apella,USNM,270361,1,11.50,107.99,11.51,120.66,9.37,76.30,73.06,42.24,71.28,64.60,251.17,111.32,93.90,12.82,24.17,39.68,112.24
Cebus,apella,Cebus_apella,USNM,361020,1,11.12,100.26,11.72,120.83,7.65,75.61,72.52,40.27,77.83,57.22,247.85,120.89,100.43,12.53,20.91,37.24,104.96
Cebus,apella,Cebus_apella,ZMA,12534,2,9.40,106.75,10.63,106.53,8.76,74.02,50.50,31.40,46.36,37.68,165.94,112.87,93.46,10.81,22.56,34.08,93.09
Cebus,apella,Cebus_apella,ZMA,12536,2,10.06,107.64,10.54,119.72,8.55,75.01,58.26,32.44,58.39,47.97,197.06,114.31,99.55,11.54,21.22,47.74,119.34
Cebus,apella,Cebus_apella,AMNH,188033,2,11.26,111.68,9.30,117.55,6.78,83.23,73.00,36.30,73.36,65.10,247.76,110.64,104.24,11.96,24.75,48.19,120.55
Cebus,apella,Cebus_apella,USNM,270360,2,9.88,105.52,8.17,111.23,6.98,74.02,56.27,29.85,56.09,44.27,186.49,119.39,95.03,10.87,20.33,41.97,101.35
Cebus,apella,Cebus_apella,USNM,547900,2,9.48,103.60,10.67,105.22,7.54,73.90,50.96,26.87,53.98,38.26,170.07,122.10,94.95,10.36,17.19,39.47,93.25
Cebus,apella,Cebus_apella,USNM,547902,2,9.90,108.78,9.64,118.53,8.23,74.92,57.95,36.51,55.66,49.87,199.99,110.03,98.67,11.54,23.47,43.45,114.78
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452536,1,14.16,101.07,13.58,154.72,12.12,65.10,121.42,67.59,123.54,91.32,403.86,122.50,94.24,16.39,27.57,35.76,131.57
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452538,1,16.17,110.34,14.12,158.27,16.20,64.37,145.76,61.06,140.00,115.36,462.18,109.02,100.11,17.59,29.94,36.40,138.90
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452547,1,15.13,99.83,13.26,163.55,13.10,65.23,127.08,68.03,137.35,114.42,446.88,114.05,99.34,17.09,34.43,34.19,139.18
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452553,1,15.69,103.68,17.09,162.36,15.12,64.23,154.77,73.83,158.05,142.01,528.65,115.16,107.43,16.83,30.87,48.90,164.02
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452531,2,11.78,97.13,12.60,128.33,10.71,63.78,86.55,57.91,86.05,80.31,310.81,103.59,103.80,13.56,24.15,34.16,107.86
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452537,2,13.27,104.21,11.70,138.43,12.35,64.36,107.00,69.44,106.79,93.38,373.17,110.54,100.85,14.67,30.88,46.91,142.29
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452546,2,13.92,100.51,10.36,133.99,12.13,60.41,111.87,59.31,120.38,107.39,398.94,114.21,101.82,14.71,30.54,38.81,122.66
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452557,2,12.75,90.25,11.50,133.97,10.43,58.61,97.60,37.73,99.95,73.33,308.61,124.72,101.99,14.43,28.91,32.01,110.11
Colobus,guereza,Colobus_guereza,USNM,452619,1,17.60,109.56,14.91,180.10,16.65,67.79,167.92,97.12,159.95,139.87,564.87,109.12,93.88,19.58,39.99,33.16,152.12
Colobus,guereza,Colobus_guereza,USNM,452620,1,15.58,102.30,15.01,180.45,10.49,74.67,136.78,80.03,138.00,105.00,459.81,113.01,93.15,16.73,37.29,26.88,133.15
Colobus,guereza,Colobus_guereza,USNM,452617,2,18.16,98.36,12.61,191.10,14.46,63.48,175.00,84.51,175.78,150.58,585.87,115.32,100.93,19.31,37.42,25.87,134.70
Colobus,guereza,Colobus_guereza,USNM,452632,2,16.07,99.36,11.76,179.25,12.27,63.30,141.05,62.34,149.79,113.30,466.48,119.00,102.45,18.13,33.39,37.85,151.34
